Test Case,Fault,Command
t12,"[1, 2]",-P[-G '\w' ../inputs/grep1.dat]
t36,"[2, 5]",-P[-E '[^[:alnum:\]\]|include' ../inputs/grep*.dat]
t38,"[2, 5]",-P[-E '[^[:alnum:\]\]' ../inputs/grep*.dat]
t272,"[2, 5]",-P['[^[:alnum:\]\]\|include' ../inputs/grep*.dat]
t274,"[2, 5]",-P[-G '[^[:alnum:\]\]' ../inputs/grep*.dat]
t504,"[2, 5]",-P[-nbh '' ../inputs/grep*.dat]
t524,"[2, 5]",-P[-vinbh 'include' ../inputs/grep*.dat]
t526,"[2, 5]",-P[-vinb 'include' ../inputs/grep*.dat]
t528,"[2, 5]",-P[-vinh 'include' ../inputs/grep*.dat]
t530,"[2, 5]",-P[-vin 'include' ../inputs/grep*.dat]
t532,"[2, 5]",-P[-vbhn 'include' ../inputs/grep*.dat]
t536,"[2, 5]",-P[-vnh 'include' ../inputs/grep*.dat]
t538,"[2, 5]",-P[-vn 'include' ../inputs/grep*.dat]
t559,"[2, 5]",-P[-vibh include ../inputs/grep*.dat]
t562,"[2, 5]",-P[-vib include ../inputs/grep*.dat]
t565,"[2, 5]",-P[-vih include ../inputs/grep*.dat]
t568,"[2, 5]",-P[-vi include ../inputs/grep*.dat]
t573,"[2, 5]",-P[-vbh include ../inputs/grep*.dat]
t576,"[2, 5]",-P[-vb include ../inputs/grep*.dat]
t579,"[2, 5]",-P[-vh include ../inputs/grep*.dat]
t582,"[2, 5]",-P[-v include ../inputs/grep*.dat]
t806,"[1, 2]","-P [""\(\b\)\+"" ../inputs/grep1.dat]"
t13,[2],-P[-G '[[:alpha:\]\]' ../inputs/grep1.dat]
t16,[2],"-P[-E ""[[:graph:\]\]"" ../inputs/grep1.dat]"
t17,[2],"-P[-G ""[[:lower:\]\]"" ../inputs/grep1.dat]"
t18,[2],"-P[-G ""[[:print:\]\]"" ../inputs/grep1.dat]"
t20,[2],-P[-G '[[:space:\]\]' ../inputs/grep1.dat]
t22,[2],-P[-E '[[:xdigit:\]\]' ../inputs/grep1.dat]
t23,[2],-P[-E . ../inputs/grep1.dat]
t27,[2],-P[-E 'b*' ../inputs/grep1.dat]
t29,[3],"-P[-E 'a{,3}' ../inputs/grep1.dat]"
t30,[2],"-P[-E 'a{1,5}' ../inputs/grep1.dat]"
t32,[2],-P[-E '[ab\]|include' ../inputs/grep*.dat]
t35,[4],-P[-E 'include|\W''reg' ../inputs/grep*.dat]
t219,[6],"-P[-E ""\bif \(?g|if \(""""?out\b"" ../inputs/grep*.dat]"
t247,[6],"-P[-E ""\bif \({1}g|if \(""""{1}out\b"" ../inputs/grep*.dat]"
t267,[2],-P[-G '[ab\]\|include' ../inputs/grep*.dat]
t270,[4],-P[-G 'include\|\W''reg' ../inputs/grep*.dat]
t271,[4],-P[-G '\(include\|\W\)''reg' ../inputs/grep*.dat]
t434,[6],"-P[""\bif (\?g\|if (""""\?out\b"" ../inputs/grep*.dat]"
t458,[6],"-P[-G ""\bif (\{1\}g\|if (""""\{1\}out\b"" ../inputs/grep*.dat]"
t483,[7],-P[-V]
t496,[8],"-P[-L """" ../inputs/grepNon.dat]"
t499,[8],"-P[-c """" ../inputs/grepNon.dat]"
t502,[8],-P[-nbh '' ../inputs/grepNon.dat]
t503,[2],-P[-nbh '' ../inputs/grep1.dat]
t523,[2],-P[-vinbh 'include' ../inputs/grep1.dat]
t525,[2],-P[-vinb 'include' ../inputs/grep1.dat]
t527,[2],-P[-vinh 'include' ../inputs/grep1.dat]
t529,[2],-P[-vin 'include' ../inputs/grep1.dat]
t531,[2],-P[-vbhn 'include' ../inputs/grep1.dat]
t533,[2],-P[-vbn 'include' ../inputs/grep1.dat]
t534,[5],-P[-vbn 'include' ../inputs/grep*.dat]
